股票代號,股票名稱,產業,最新股價,漲跌幅%,5星總分,K值,D值,J值,MA5,MA20,均線差%,成交量,5日均量,量比,投信連買天數,投信淨買比%,外資連買天數,外資買超張數,投信買超張數,自營商買超張數,DIF,低流動性風險,均線過發散,黑名單否決,更新時間
9921,巨大,其他,90.3,+0.67%,0,39.5,34.3,49.9,90.26,95.62,5.6,560,1932.5,0.29,0,0.0,2,235,0,-15,-1.9622,正常,正常,🔴否決黑名單,2026-09-23
2912,統一超,貿易百貨,213.0,-0.47%,0,15.3,28.2,-10.6,215.2,216.43,0.6,2277,1509.0,1.51,1,3.21,0,-226,73,39,-1.9816,正常,正常,🔴否決黑名單,2026-09-23
2345,智邦,通信網路,1890.0,-1.31%,0,38.9,24.6,67.3,1860.0,1978.0,6.0,4143,4178.0,0.99,0,0.0,0,-595,-532,-22,-81.216,正常,正常,🔴否決黑名單,2026-09-23
2409,友達,光電,34.7,-5.32%,0,79.6,71.6,95.5,33.01,29.26,12.8,948644,593165.4,1.6,1,0.02,0,-153888,229,-5003,1.9556,正常,正常,正常,2026-09-23
1717,長興,化學,71.1,+0.14%,0,53.5,41.7,77.2,71.3,73.98,3.6,4971,5699.4,0.87,0,0.0,1,746,-597,14,-0.3584,正常,正常,🔴否決黑名單,2026-09-23
1722,台肥,化學,41.75,-0.24%,0,8.7,11.1,3.8,42.07,43.47,3.2,2718,2938.8,0.92,1,0.04,0,-518,1,0,-0.9721,正常,正常,🔴否決黑名單,2026-09-23
1503,士電,電機機械,196.5,-0.25%,0,18.4,19.5,16.0,197.8,202.12,2.1,538,803.8,0.67,1,1.12,0,-53,6,-13,-1.7023,正常,正常,🔴否決黑名單,2026-09-23
1504,東元,電機機械,68.6,+0.00%,0,8.2,14.8,-5.1,69.34,70.85,2.1,2821,5482.8,0.51,0,0.0,1,269,-12,-17,-0.2942,正常,正常,🔴否決黑名單,2026-09-23
1519,華城,電機機械,704.0,-1.12%,0,35.2,29.7,46.2,712.0,725.65,1.9,637,752.3,0.85,0,0.0,0,-116,-4,-9,-3.6324,正常,正常,🔴否決黑名單,2026-09-23
2204,中華,汽車,52.5,-0.38%,0,41.8,33.0,59.3,52.64,53.26,1.2,357,458.5,0.78,0,0.0,0,-120,-60,-1,-0.2751,⚠️低流動,正常,🔴否決黑名單,2026-09-23
3044,健鼎,電子零組件,543.0,+0.74%,0,82.6,74.0,99.9,525.2,503.8,4.2,2957,3801.0,0.78,2,1.18,0,-159,35,12,17.8037,正常,正常,正常,2026-09-23
3661,世芯-KY,半導體,3760.0,+1.21%,0,49.1,34.5,78.5,3595.0,3835.0,6.3,1783,3129.5,0.57,0,0.0,2,121,-4,0,-70.8068,正常,正常,🔴否決黑名單,2026-09-23
6415,矽力-KY,半導體,426.0,-0.93%,0,71.1,62.4,88.5,426.4,422.32,1.0,1554,2166.7,0.72,0,0.0,0,-44,-100,-18,-6.439,正常,正常,正常,2026-09-23
8028,昇陽半導體,半導體,258.0,-2.09%,0,71.7,61.3,92.6,256.0,242.62,5.5,5523,10017.3,0.55,0,0.0,0,-2019,0,-53,-1.0389,正常,正常,正常,2026-09-23
6414,樺漢,電腦週邊,371.5,-1.20%,0,48.5,38.6,68.5,373.3,379.9,1.7,787,855.1,0.92,1,0.13,0,-263,1,-2,-9.9872,正常,正常,🔴否決黑名單,2026-09-23
3035,智原,半導體,204.0,+0.49%,0,79.1,67.2,102.8,193.5,181.1,6.8,7476,6723.0,1.11,0,0.0,0,-240,0,172,4.2677,正常,正常,正常,2026-09-23
2458,義隆,半導體,129.0,-0.39%,0,60.7,54.5,73.0,130.0,131.53,1.2,1320,1198.7,1.1,0,0.0,0,-220,-2,-6,-4.3121,正常,正常,🔴否決黑名單,2026-09-23
4961,天鈺,半導體,178.5,-1.11%,0,70.2,75.5,59.5,181.0,173.1,4.6,559,1281.9,0.44,0,0.0,2,29,-1,0,4.201,正常,正常,正常,2026-09-23
2356,英業達,電腦週邊,61.0,-0.33%,0,21.4,20.1,24.0,61.44,63.65,3.5,14244,10810.3,1.32,0,0.0,0,-3855,-132,158,-1.11,正常,正常,🔴否決黑名單,2026-09-23
3702,大聯大,電子通路,114.0,+0.88%,0,83.0,81.1,86.9,113.3,106.25,6.6,9400,10255.7,0.92,0,0.0,2,1809,-1557,90,0.8522,正常,正常,正常,2026-09-23
